review_id,model_id,evaluation_id,suite_id,reviewer_type,reviewed_at,evidence_kind,evidence_path,evidence_revision,evidence_sha256,source_locator,source_locator_reachable,checks_passed,duplicate_group_ids,canonical_setting_decision,audit_status_preserved,prior_review_status,review_outcome,promotion_eligible,decision_reason
review.16aa2c70ec854d66170d,atlas,pathorob.camelyon.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=camelyon,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,semantic.camelyon,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.8843dde545d91bd5f9d9,atlas,pathorob.nature2026.all_datasets.apd_id,pathorob,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/pathorob_nature2026_and_repo_examples.csv,PMC13260997.1,472c1e581854f7b80427291770f47d7f665f563d787495ab0276b50930a2104e,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_analysis_ineligible_apd,parsed_primary_source_analysis_ineligible,machine_parsed_single_source,source_locator_validated,true,Pinned source value and protocol validated; APD remains outside the bounded normalized matrix by contract.
review.cc6098f326cb3b706699,atlas,pathorob.nature2026.all_datasets.apd_ood,pathorob,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/pathorob_nature2026_and_repo_examples.csv,PMC13260997.1,472c1e581854f7b80427291770f47d7f665f563d787495ab0276b50930a2104e,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_analysis_ineligible_apd,parsed_primary_source_analysis_ineligible,machine_parsed_single_source,source_locator_validated,true,Pinned source value and protocol validated; APD remains outside the bounded normalized matrix by contract.
review.db1ccf2cea705814f516,atlas,pathorob.nature2026.camelyon.clustering_score,pathorob,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/pathorob_nature2026_and_repo_examples.csv,PMC13260997.1,472c1e581854f7b80427291770f47d7f665f563d787495ab0276b50930a2104e,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=16,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathorob.camelyon.camelyon-clustering-score,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.3250739df2c874c41b56,atlas,pathorob.nature2026.tcga_4x4.clustering_score,pathorob,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/pathorob_nature2026_and_repo_examples.csv,PMC13260997.1,472c1e581854f7b80427291770f47d7f665f563d787495ab0276b50930a2104e,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=36,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathorob.tcga_4x4.tcga-4x4-clustering-score,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.dbeb468726e40101dbe7,atlas,pathorob.nature2026.tolkach_esca.clustering_score,pathorob,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/pathorob_nature2026_and_repo_examples.csv,PMC13260997.1,472c1e581854f7b80427291770f47d7f665f563d787495ab0276b50930a2104e,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=56,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathorob.tolkach_esca.tolkach-esca-clustering-score,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.8a27ed14b5df05ff8aa9,atlas,pathorob.tcga_2x2.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=tcga_2x2,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_validated,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.8cf079f37917bdca2f1d,atlas,pathorob.tolkach_esca.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=tolkach_esca,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_validated,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.95e3a9d2ff6bfc22b423,atlas-2,pathorob.camelyon.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas 2|task_column=camelyon,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,semantic.camelyon,retain_reported_external_only,reported_external,machine_parsed_single_source,reported_external,false,"PathoROB table transcription and locator validated; upstream marks the value as external and not author-validated, so no status promotion."
review.b6333945f0cb3e0978c4,atlas-2,pathorob.tcga_2x2.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas 2|task_column=tcga_2x2,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_reported_external_only,reported_external,machine_parsed_single_source,reported_external,false,"PathoROB table transcription and locator validated; upstream marks the value as external and not author-validated, so no status promotion."
review.83742cda27c758de100f,atlas-2,pathorob.tolkach_esca.robustness_index,pathorob,automated_agent_review,2026-08-06T00:00:00Z,repository,source_data/pinned/pathorob/README.md,6583cf0b0d902c8cc032308262fa3a3befdc0687,2d87485e399409bb7ef4c2fe56601c3bde72237d14c921aec361dbf4cb9ba4ee,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas 2|task_column=tolkach_esca,true,metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,,retain_reported_external_only,reported_external,machine_parsed_single_source,reported_external,false,"PathoROB table transcription and locator validated; upstream marks the value as external and not author-validated, so no status promotion."
review.51b28e42c5f508dfbc38,chief-patch-mean,pathobench.threads2025.bcnb.er,pathobench,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/threads_pathobench_2501.16652v1.csv,arxiv:2501.16652v1,876ad2edb815c80d0191656930a5f0a2728802361981906e4c694916dd13ff61,paper=THREADS|extended_data_table=11|model_row=Chief Mean Pooling|base_task=pathobench.bcnb.er,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathobench.bcnb.er,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.12fd989c3aaea0a86d5f,chief-patch-mean,pathobench.threads2025.bcnb.her2,pathobench,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/threads_pathobench_2501.16652v1.csv,arxiv:2501.16652v1,876ad2edb815c80d0191656930a5f0a2728802361981906e4c694916dd13ff61,paper=THREADS|extended_data_table=11|model_row=Chief Mean Pooling|base_task=pathobench.bcnb.her2,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathobench.bcnb.her2,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
review.8644141c918df9ffbdc9,chief-patch-mean,pathobench.threads2025.bcnb.pr,pathobench,automated_agent_review,2026-08-06T00:00:00Z,paper_snapshot,source_data/threads_pathobench_2501.16652v1.csv,arxiv:2501.16652v1,876ad2edb815c80d0191656930a5f0a2728802361981906e4c694916dd13ff61,paper=THREADS|extended_data_table=11|model_row=Chief Mean Pooling|base_task=pathobench.bcnb.pr,true,dedup_group_contract;metric_direction_scale;model_alias;protocol_setting;source_locator;source_value;split_version,exact.pathobench.bcnb.pr,retain_protocol_specific_cell,parsed_primary_source,machine_parsed_single_source,source_locator_crosschecked,true,"Pinned source value, locator, alias, metric transform, protocol, and revision exactly reproduce the registry row."
