alias,model_id,suite_id,reference_url,audit_notes
Atlas,atlas,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
Atlas 2,atlas-2,pathorob,https://arxiv.org/pdf/2601.05148,External-publication value is unvalidated by PathoROB authors.
Chief Mean Pooling,chief-patch-mean,pathobench,https://arxiv.org/html/2501.16652v1#S0.T37,Frozen representation row in THREADS Extended Data. Patch-encoder mean-pooling and slide-encoder rows have deliberately distinct model IDs.
CHIEF,chief-slide,pathobench,https://arxiv.org/html/2501.16652v1#S0.T37,Frozen representation row in THREADS Extended Data. Patch-encoder mean-pooling and slide-encoder rows have deliberately distinct model IDs.
Ciga,ciga,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
CLIP-B,clip-b,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VLM; alias parsed from current per-dataset linear-probe table.
CLIP-L,clip-l,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VLM; alias parsed from current per-dataset linear-probe table.
CONCH v1,conch,hest,https://huggingface.co/MahmoodLab/conch,Alias and optional checkpoint URL parsed from the current HEST results table.
Conch,conch,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
CONCH,conch,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
CONCH v1.5,conch-1.5,hest,https://huggingface.co/MahmoodLab/conchv1_5,Alias and optional checkpoint URL parsed from the current HEST results table.
CONCHv1.5 Mean Pooling,conch-1.5,pathobench,https://arxiv.org/html/2501.16652v1#S0.T37,Frozen representation row in THREADS Extended Data. Patch-encoder mean-pooling and slide-encoder rows have deliberately distinct model IDs.
CONCHv1.5,conch-1.5,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
CONCH 1.5,conch-1.5,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
CTransPath,ctranspath,hest,https://huggingface.co/datasets/MahmoodLab/hest-bench/tree/main/fm_v1/ctranspath,Alias and optional checkpoint URL parsed from the current HEST results table.
CTransPath,ctranspath,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
DINOv2-B,dinov2-b,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VM; alias parsed from current per-dataset linear-probe table.
DINOv2-L,dinov2-l,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VM; alias parsed from current per-dataset linear-probe table.
vitg14 (initial),dinov2-vit-g-14-initial,eva,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,Reported EVA leaderboard alias mapped by the source-specific exact alias table.
vitg14 (nat. img.),dinov2-vit-g-14-natural-images,eva,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,Reported EVA leaderboard alias mapped by the source-specific exact alias table.
