evaluation_id,protocol_id,task_identity_id,dataset_artifact_id,suite_id,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,direction,protocol,reference_url,audit_status,audit_notes
pathobench.bc_therapy.er-status,pathobench.bc_therapy.er-status,task.pathobench.bc_therapy.er-status,artifact.pathobench.bc_therapy,pathobench,bc_therapy,er_status,molecular_subtyping,er_status,case,classification,166,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/er_status/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bc_therapy.grade,pathobench.bc_therapy.grade,task.pathobench.bc_therapy.grade,artifact.pathobench.bc_therapy,pathobench,bc_therapy,grade,tumor_grading,grade,case,classification,166,case_level_classification,weighted_kappa,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/grade/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bc_therapy.her2-status,pathobench.bc_therapy.her2-status,task.pathobench.bc_therapy.her2-status,artifact.pathobench.bc_therapy,pathobench,bc_therapy,her2_status,molecular_subtyping,her2_status,case,classification,166,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/her2_status/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bc_therapy.residual-cancer-burden,pathobench.bc_therapy.residual-cancer-burden,task.pathobench.bc_therapy.residual-cancer-burden,artifact.pathobench.bc_therapy,pathobench,bc_therapy,residual_cancer_burden,treatment_response,residual_cancer_burden,case,classification,159,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/residual_cancer_burden/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bcnb.er,pathobench.bcnb.er,task.pathobench.bcnb.er,artifact.pathobench.bcnb,pathobench,bcnb,er,molecular_subtyping,er,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/er/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bcnb.her2,pathobench.bcnb.her2,task.pathobench.bcnb.her2,artifact.pathobench.bcnb,pathobench,bcnb,her2,molecular_subtyping,her2,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/her2/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bcnb.pr,pathobench.bcnb.pr,task.pathobench.bcnb.pr,artifact.pathobench.bcnb,pathobench,bcnb,pr,molecular_subtyping,pr,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/pr/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.boehmk_.pfs,pathobench.boehmk_.pfs,task.pathobench.boehmk_.pfs,artifact.pathobench.boehmk_,pathobench,boehmk_,PFS,survival_prediction,PFS,case,survival,183,case_level_survival,cindex,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/boehmk_/PFS/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bracs.slidelevel-coarse,pathobench.bracs.slidelevel-coarse,task.pathobench.bracs.slidelevel-coarse,artifact.pathobench.bracs,pathobench,bracs,slidelevel_coarse,morphological_subtyping,slidelevel_coarse,slide,classification,547,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bracs/slidelevel_coarse/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=slide_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.bracs.slidelevel-fine,pathobench.bracs.slidelevel-fine,task.pathobench.bracs.slidelevel-fine,artifact.pathobench.bracs,pathobench,bracs,slidelevel_fine,morphological_subtyping,slidelevel_fine,slide,classification,547,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bracs/slidelevel_fine/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=slide_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
